region,no_hours,people
Norden,35 timmar eller mer,3029
Norden,35 timmar eller mer,3086
Norden,35 timmar eller mer,6118
EU15 utom Danmark och Finland,35 timmar eller mer,7268
EU15 utom Danmark och Finland,35 timmar eller mer,6590
EU15 utom Danmark och Finland,35 timmar eller mer,13853
Europa och Sovjetunionen,35 timmar eller mer,2244
Europa och Sovjetunionen,35 timmar eller mer,2792
Europa och Sovjetunionen,35 timmar eller mer,4997
Afrika,35 timmar eller mer,1188
Afrika,35 timmar eller mer,594
Afrika,35 timmar eller mer,1789
Nordamerika,35 timmar eller mer,1260
Nordamerika,35 timmar eller mer,914
Nordamerika,35 timmar eller mer,2178
Asien,35 timmar eller mer,4814
Asien,35 timmar eller mer,4134
Asien,35 timmar eller mer,9049
"Sydamerika, Oceanien och okända",35 timmar eller mer,1123
"Sydamerika, Oceanien och okända",35 timmar eller mer,835
"Sydamerika, Oceanien och okända",35 timmar eller mer,1972
Norden,20 - 34 timmar,198
Norden,20 - 34 timmar,792
Norden,20 - 34 timmar,970
EU15 utom Danmark och Finland,20 - 34 timmar,485
EU15 utom Danmark och Finland,20 - 34 timmar,1264
EU15 utom Danmark och Finland,20 - 34 timmar,1710
Europa och Sovjetunionen,20 - 34 timmar,206
Europa och Sovjetunionen,20 - 34 timmar,785
Europa och Sovjetunionen,20 - 34 timmar,972
Afrika,20 - 34 timmar,165
Afrika,20 - 34 timmar,123
Afrika,20 - 34 timmar,285
Nordamerika,20 - 34 timmar,108
Nordamerika,20 - 34 timmar,295
Nordamerika,20 - 34 timmar,412
Asien,20 - 34 timmar,449
Asien,20 - 34 timmar,1309
Asien,20 - 34 timmar,1730
"Sydamerika, Oceanien och okända",20 - 34 timmar,..
"Sydamerika, Oceanien och okända",20 - 34 timmar,418
"Sydamerika, Oceanien och okända",20 - 34 timmar,609
Norden,15 - 19 timmar,..
Norden,15 - 19 timmar,..
Norden,15 - 19 timmar,..
EU15 utom Danmark och Finland,15 - 19 timmar,162
EU15 utom Danmark och Finland,15 - 19 timmar,271
EU15 utom Danmark och Finland,15 - 19 timmar,342
Europa och Sovjetunionen,15 - 19 timmar,52
Europa och Sovjetunionen,15 - 19 timmar,567
Europa och Sovjetunionen,15 - 19 timmar,625
Afrika,15 - 19 timmar,198
Afrika,15 - 19 timmar,66
Afrika,15 - 19 timmar,259
Nordamerika,15 - 19 timmar,61
Nordamerika,15 - 19 timmar,112
Nordamerika,15 - 19 timmar,177
Asien,15 - 19 timmar,321
Asien,15 - 19 timmar,689
Asien,15 - 19 timmar,1065
"Sydamerika, Oceanien och okända",15 - 19 timmar,..
"Sydamerika, Oceanien och okända",15 - 19 timmar,232
"Sydamerika, Oceanien och okända",15 - 19 timmar,232
Norden,mindre än 5 timmar,..
Norden,mindre än 5 timmar,..
Norden,mindre än 5 timmar,..
EU15 utom Danmark och Finland,mindre än 5 timmar,162
EU15 utom Danmark och Finland,mindre än 5 timmar,271
EU15 utom Danmark och Finland,mindre än 5 timmar,342
Europa och Sovjetunionen,mindre än 5 timmar,..
Europa och Sovjetunionen,mindre än 5 timmar,..
Europa och Sovjetunionen,mindre än 5 timmar,69
Afrika,mindre än 5 timmar,83
Afrika,mindre än 5 timmar,57
Afrika,mindre än 5 timmar,130
Nordamerika,mindre än 5 timmar,77
Nordamerika,mindre än 5 timmar,28
Nordamerika,mindre än 5 timmar,..
Asien,mindre än 5 timmar,449
Asien,mindre än 5 timmar,207
Asien,mindre än 5 timmar,665
"Sydamerika, Oceanien och okända",mindre än 5 timmar,..
"Sydamerika, Oceanien och okända",mindre än 5 timmar,..
"Sydamerika, Oceanien och okända",mindre än 5 timmar,..
Norden,uppgift saknas,33
Norden,uppgift saknas,83
Norden,uppgift saknas,149
EU15 utom Danmark och Finland,uppgift saknas,81
EU15 utom Danmark och Finland,uppgift saknas,361
EU15 utom Danmark och Finland,uppgift saknas,342
Europa och Sovjetunionen,uppgift saknas,52
Europa och Sovjetunionen,uppgift saknas,174
Europa och Sovjetunionen,uppgift saknas,208
Afrika,uppgift saknas,33
Afrika,uppgift saknas,104
Afrika,uppgift saknas,130
Nordamerika,uppgift saknas,77
Nordamerika,uppgift saknas,42
Nordamerika,uppgift saknas,118
Asien,uppgift saknas,385
Asien,uppgift saknas,620
Asien,uppgift saknas,1065
"Sydamerika, Oceanien och okända",uppgift saknas,41
"Sydamerika, Oceanien och okända",uppgift saknas,46
"Sydamerika, Oceanien och okända",uppgift saknas,87
